timestamp,date,hour,host,user,process,event_type,action,status,severity,severity_num,protocol,service,src_ip,dst_ip,is_internal_src,is_internal_dst,tags,msg,label_suspicious,rule_score,rule_reasons,model_proba,hybrid_score,alert
2025-08-28T13:37:30Z,2025-08-28,13,SBC-EDGE-01,svc_ims,,autorun_entry,invite,observed,informational,0,sip,voip,192.168.192.36,185.189.208.47,1,0,telecom|realtime,direction=egress; bytes_out=20025; bytes_in=13880; latency_ms=27; protocol=SIP; service=VoIP; asn=AS9498; country=IN,1,2,persistence_signal,0.9999999731807052,0.9999999812264937,1
2025-08-28T19:06:46Z,2025-08-28,19,SBC-EDGE-01,secops,,service_install,deny,observed,low,1,smtp,web-portal,8.112.214.175,192.168.199.95,0,1,telecom|realtime,direction=ingress; bytes_out=23565; bytes_in=11272; latency_ms=62; protocol=SMTP; service=Web-Portal; asn=AS15169; country=US,1,2,persistence_signal,0.9999999731726515,0.9999999812208561,1
2025-08-28T13:28:45Z,2025-08-28,13,IMS-CSCF-01,secops,,autorun_entry,query,observed,informational,0,dns,web-portal,172.19.31.41,104.146.254.230,1,0,telecom|realtime,direction=egress; bytes_out=10027; bytes_in=6103; latency_ms=3; protocol=DNS; service=Web-Portal; asn=AS8075; country=US,1,2,persistence_signal,0.9999999730806174,0.9999999811564322,1
2025-08-28T15:43:04Z,2025-08-28,15,SGW-01,secops,,service_install,invite,observed,low,1,https,core-network,172.19.44.24,1.42.192.249,1,0,telecom|realtime,direction=egress; bytes_out=40; bytes_in=15365; latency_ms=10; protocol=HTTPS; service=Core-Network; asn=AS15169; country=US,1,2,persistence_signal,0.9999999729960236,0.9999999810972166,1
2025-08-28T18:14:04Z,2025-08-28,18,TELCO-CORE-02,svc_ims,,service_install,deny,observed,informational,0,ssh,customer-crm,10.101.21.148,8.231.205.14,1,0,telecom|realtime,direction=egress; bytes_out=35048; bytes_in=19006; latency_ms=32; protocol=SSH; service=Customer-CRM; asn=AS15169; country=US,1,2,persistence_signal,0.99999997275686,0.999999980929802,1
2025-08-28T16:18:09Z,2025-08-28,16,BSS-APP-01,dbadmin,,service_install,permit,observed,low,1,http,mail-server,192.168.159.178,23.143.203.137,1,0,telecom|realtime,direction=egress; bytes_out=24615; bytes_in=2264; latency_ms=14; protocol=HTTP; service=Mail-Server; asn=AS15169; country=US,1,2,persistence_signal,0.9999999724176808,0.9999999806923766,1
2025-08-28T19:56:23Z,2025-08-28,19,TELCO-CORE-02,svc_ims,,scheduled_task_created,invite,observed,medium,2,https,customer-crm,10.187.8.18,91.43.40.34,1,0,telecom|realtime,direction=egress; bytes_out=40; bytes_in=15860; latency_ms=27; protocol=HTTPS; service=Customer-CRM; asn=AS16509; country=US,1,2,persistence_signal,0.9999999721951128,0.999999980536579,1
2025-08-28T17:19:36Z,2025-08-28,17,SGW-01,dbadmin,,scheduled_task_created,deny,observed,low,1,dns,voip,172.16.170.202,64.78.233.105,1,0,telecom|realtime,direction=egress; bytes_out=13715; bytes_in=1413; latency_ms=28; protocol=DNS; service=VoIP; asn=AS16509; country=US,1,2,persistence_signal,0.999999972140066,0.9999999804980462,1
2025-08-28T15:57:50Z,2025-08-28,15,SBC-EDGE-01,charlie,,autorun_entry,permit,observed,low,1,sip,web-portal,10.197.190.66,23.202.142.115,1,0,telecom|realtime,direction=egress; bytes_out=14092; bytes_in=21117; latency_ms=33; protocol=SIP; service=Web-Portal; asn=AS15169; country=US,1,2,persistence_signal,0.9999999720847468,0.9999999804593227,1
2025-08-28T18:51:22Z,2025-08-28,18,SBC-EDGE-01,svc_bss,,autorun_entry,register,observed,medium,2,sip,core-network,10.132.174.173,172.110.196.122,1,1,telecom|realtime,direction=egress; bytes_out=40; bytes_in=12141; latency_ms=8; protocol=SIP; service=Core-Network; asn=AS15169; country=US,1,2,persistence_signal,0.9999999718007224,0.9999999802605057,1
2025-08-28T19:49:04Z,2025-08-28,19,PGW-01,secops,,autorun_entry,query,observed,high,3,dns,core-network,10.0.238.2,31.112.27.227,1,0,telecom|realtime,direction=egress; bytes_out=12003; bytes_in=40; latency_ms=20; protocol=DNS; service=Core-Network; asn=AS15169; country=US,1,2,persistence_signal,0.9999999716899718,0.9999999801829803,1
